Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1, 0, 1001, 8.235895135999905e-07
500, 1, 0.05, 1001, 8.235895135549918e-07
500, 1, 0.1, 1001, 8.235895135599906e-07
500, 1, 0.15, 1001, 8.23589513575001e-07
500, 1, 0.2, 1001, 8.235895135500078e-07
500, 1, 0.25, 1001, 8.235895135950104e-07
500, 1, 0.3, 235, 1.6057856342637838e-08
500, 1, 0.35, 113, 8.436789379458465e-09
500, 1, 0.4, 113, 8.436789379353251e-09
500, 1, 0.45, 113, 8.436789379353251e-09
500, 1, 0.5, 113, 8.436789379341709e-09
500, 1, 0.55, 113, 8.436789379353251e-09
500, 1, 0.6, 113, 8.436789379353251e-09
500, 1, 0.65, 113, 8.436789379353251e-09
500, 1, 0.7, 113, 8.436789379353251e-09
500, 1, 0.75, 113, 8.436789379353251e-09
500, 1, 0.8, 113, 8.436789379353251e-09
500, 1, 0.85, 113, 8.436789379353251e-09
500, 1, 0.9, 113, 8.436789379353251e-09
500, 1, 0.95, 113, 8.436789379353251e-09
500, 1, 1, 113, 8.43678937947592e-09
