Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.75, 0, 238, 1.7776914759e-08
500, 0.75, 0.05, 238, 1.777691475943e-08
500, 0.75, 0.1, 238, 1.777691475907e-08
500, 0.75, 0.15, 238, 1.7776914759485008e-08
500, 0.75, 0.2, 238, 1.7776914758885004e-08
500, 0.75, 0.25, 238, 1.777691475938501e-08
500, 0.75, 0.3, 238, 1.7776914758905002e-08
500, 0.75, 0.35, 238, 1.7776914759203e-08
500, 0.75, 0.4, 238, 1.7776914759e-08
500, 0.75, 0.45, 238, 1.7776914759e-08
500, 0.75, 0.5, 238, 1.7776914759e-08
500, 0.75, 0.55, 238, 1.7776914759e-08
500, 0.75, 0.6, 238, 1.7776914759e-08
500, 0.75, 0.65, 238, 1.7776914759e-08
500, 0.75, 0.7, 238, 1.7776914759e-08
500, 0.75, 0.75, 238, 1.7776914759e-08
500, 0.75, 0.8, 238, 1.7776914759e-08
500, 0.75, 0.85, 238, 1.7776914759e-08
500, 0.75, 0.9, 238, 1.7776914759e-08
500, 0.75, 0.95, 238, 1.7776914759e-08
500, 0.75, 1, 238, 1.7776914759e-08
