,cycle,host biomass,virus mass,ATPM,VBOF
0,0.0,5e-06,0.0,0.88925124246,0.018687319873
1,0.01,4.4462562123e-06,9.3436599365e-10,0.88925124246,0.018687319873
2,0.02,3.9538388611e-06,1.765252114415635e-09,0.88925124246,0.018687319873
3,0.03,3.5159561197e-06,2.504118629652372e-09,0.88925124246,0.018687319873
4,0.04,3.1265683479e-06,3.16115659633503e-09,0.88925124246,0.018687319873
5,0.05,2.780304788e-06,3.745428424555075e-09,0.88925124246,0.018687319873
6,0.06,2.4723894871e-06,4.264992873732969e-09,0.88925124246,0.018687319873
7,0.07,2.1985754233e-06,4.72701620569377e-09,0.88925124247,0.018687319873
8,0.08,1.9550859268e-06,5.137871027695004e-09,0.88925124246,0.018687319873
9,0.09,1.7385625895e-06,5.503224188628127e-09,0.88925124247,0.018687319873
10,0.1,1.5460189428e-06,5.8281149409203035e-09,0.88925124246,0.018687319873
11,0.11,1.3747992658e-06,6.117024446058512e-09,0.88925124246,0.018687319873
12,0.12,1.2225419552e-06,6.373937582470214e-09,0.88925124246,0.018687319873
13,0.13,1.0871469526e-06,6.602397908220066e-09,0.88925124247,0.018687319873
14,0.14,9.6674677838e-07,6.8055565367419996e-09,0.88925124247,0.018687319873
15,0.15,8.5968077383e-07,6.986215599579793e-09,0.88925124247,0.018687319873
16,0.16,7.6447219625e-07,7.146866895672087e-09,0.88925124247,0.018687319873
17,0.17,6.7980785035e-07,7.289726260325473e-09,0.88925124246,0.018687319873
18,0.18,6.0451997556e-07,7.416764127842143e-09,0.88925124247,0.018687319873
19,0.19,5.3757013936e-07,7.529732709371221e-09,0.88925124246,0.018687319873
20,0.2,4.7803491434e-07,7.630190160855157e-09,0.88925124247,0.018687319873
21,0.21,4.2509314152e-07,7.719522074402494e-09,0.88925124247,0.018687319873
22,0.22,3.7801460426e-07,7.798960589516521e-09,0.88925124246,0.018687319873
23,0.23,3.361499565e-07,7.869601387781243e-09,0.88925124247,0.018687319873
24,0.24,2.9892176648e-07,7.932418805405348e-09,0.88925124247,0.018687319873
25,0.25,2.6581655224e-07,7.988279272077488e-09,0.88925124246,0.018687319873
26,0.26,2.3637769935e-07,8.037953261469956e-09,0.88925124246,0.018687319873
27,0.27,2.1019916283e-07,8.082125918255929e-09,0.88925124247,0.018687319873
28,0.28,1.8691986672e-07,8.12140650818434e-09,0.88925124246,0.018687319873
29,0.29,1.6621872372e-07,8.15633682158449e-09,0.88925124246,0.018687319873
30,0.3,1.4781020658e-07,8.187398646174865e-09,0.88925124246,0.018687319873
31,0.31,1.3144040985e-07,8.215020412283411e-09,0.88925124246,0.018687319873
32,0.32,1.1688354777e-07,8.239583102114463e-09,0.88925124247,0.018687319873
33,0.33,1.0393884008e-07,8.261425504565154e-09,0.88925124246,0.018687319873
34,0.34,9.2427742681e-08,8.280848888083189e-09,0.88925124246,0.018687319873
35,0.35000000000000003,8.2191485017e-08,8.29812115600938e-09,0.88925124246,0.018687319873
36,0.36,7.308888017e-08,8.313480541722875e-09,0.88925124246,0.018687319873
37,0.37,6.4994377501e-08,8.327138894551836e-09,0.88925124247,0.018687319873
38,0.38,5.7796330947e-08,8.339284601774914e-09,0.88925124246,0.018687319873
39,0.39,5.1395459104e-08,8.350085187013838e-09,0.88925124247,0.018687319873
40,0.4,4.5703475865e-08,8.359689620856799e-09,0.88925124247,0.018687319873
41,0.41000000000000003,4.0641872698e-08,8.36823037558477e-09,0.88925124247,0.018687319873
42,0.42,3.6140835793e-08,8.375825252338223e-09,0.88925124246,0.018687319873
43,0.43,3.2138283133e-08,8.382579005927637e-09,0.88925124246,0.018687319873
44,0.44,2.8579008206e-08,8.388584789698392e-09,0.88925124246,0.018687319873
45,0.45,2.5413918556e-08,8.393925440378378e-09,0.88925124246,0.018687319873
46,0.46,2.2599358651e-08,8.398674620631201e-09,0.88925124246,0.018687319873
47,0.47000000000000003,2.0096507759e-08,8.402897835071561e-09,0.88925124246,0.018687319873
48,0.48,1.7870844494e-08,8.406653333759788e-09,0.88925124247,0.018687319873
49,0.49,1.589167067e-08,8.409992915634388e-09,0.88925124247,0.018687319873
50,0.5,1.4131687889e-08,8.412962642965656e-09,0.88925124247,0.018687319873
51,0.51,1.2566621013e-08,8.415603476684927e-09,0.88925124247,0.018687319873
52,0.52,1.117488335e-08,8.417951841350854e-09,0.88925124246,0.018687319873
53,0.53,9.9372789029e-09,8.420040127547903e-09,0.88925124246,0.018687319873
54,0.54,8.836737611e-09,8.421897138643161e-09,0.88925124247,0.018687319873
55,0.55,7.8580799e-09,8.423548488066867e-09,0.88925124247,0.018687319873
56,0.56,6.9878073145e-09,8.425016952593657e-09,0.88925124247,0.018687319873
57,0.5700000000000001,6.2139163365e-09,8.426322786498626e-09,0.88925124246,0.018687319873
58,0.58,5.5257328228e-09,8.42748400092107e-09,0.88925124247,0.018687319873
59,0.59,4.9137647782e-09,8.428516612288993e-09,0.88925124247,0.018687319873
60,0.6,4.3695714342e-09,8.429434863230902e-09,0.88925124247,0.018687319873
61,0.61,3.8856468269e-09,8.43025141902189e-09,0.88925124247,0.018687319873
62,0.62,3.4553162686e-09,8.430977542273569e-09,0.88925124247,0.018687319873
63,0.63,3.072644285e-09,8.431623248277306e-09,0.88925124246,0.018687319873
64,0.64,2.7323527481e-09,8.432197443143404e-09,0.88925124247,0.018687319873
65,0.65,2.4297480761e-09,8.4327080466415e-09,0.88925124246,0.018687319873
66,0.66,2.1606564955e-09,8.433162101436588e-09,0.88925124246,0.018687319873
67,0.67,1.9213664732e-09,8.433565870227259e-09,0.88925124246,0.018687319873
68,0.68,1.7085775235e-09,8.433924922126038e-09,0.88925124246,0.018687319873
69,0.6900000000000001,1.5193546856e-09,8.434244209473132e-09,0.88925124246,0.018687319873
70,0.7000000000000001,1.3510880419e-09,8.434528136143236e-09,0.88925124246,0.018687319873
71,0.71,1.2014567199e-09,8.434780618287392e-09,0.88925124247,0.018687319873
72,0.72,1.068396881e-09,8.435005138347775e-09,0.88925124246,0.018687319873
73,0.73,9.5007325385e-10,8.43520479309044e-09,0.88925124246,0.018687319873
74,0.74,8.4485382141e-10,8.435382336318414e-09,0.88925124246,0.018687319873
75,0.75,7.5128731038e-10,8.43554021685448e-09,0.88925124246,0.018687319873
76,0.76,6.680831742e-10,8.435680612317336e-09,0.88925124246,0.018687319873
77,0.77,5.9409379272e-10,8.435805459157116e-09,0.88925124247,0.018687319873
78,0.78,5.2829864332e-10,8.435916479364507e-09,0.88925124247,0.018687319873
79,0.79,4.6979022497e-10,8.436015204221869e-09,0.88925124246,0.018687319873
80,0.8,4.1776154125e-10,8.436102995423941e-09,0.88925124247,0.018687319873
81,0.81,3.7149496961e-10,8.43618106385946e-09,0.88925124246,0.018687319873
82,0.8200000000000001,3.3035236329e-10,8.436250486312742e-09,0.88925124246,0.018687319873
83,0.8300000000000001,2.9376624951e-10,8.436312220315578e-09,0.88925124246,0.018687319873
84,0.84,2.6123200237e-10,8.436367117354302e-09,0.88925124247,0.018687319873
85,0.85,2.3230088268e-10,8.436415934614195e-09,0.88925124246,0.018687319873
86,0.86,2.0657384855e-10,8.43645934542321e-09,0.88925124246,0.018687319873
87,0.87,1.8369605148e-10,8.436497948539063e-09,0.88925124247,0.018687319873
88,0.88,1.6335194201e-10,8.436532276407798e-09,0.88925124246,0.018687319873
89,0.89,1.4526091739e-10,8.43656280250772e-09,0.88925124246,0.018687319873
90,0.9,1.2917345127e-10,8.436589947880003e-09,0.88925124247,0.018687319873
91,0.91,1.1486765204e-10,8.436614086936033e-09,0.88925124246,0.018687319873
92,0.92,1.0214620229e-10,8.4366355526216e-09,0.88925124246,0.018687319873
93,0.93,9.0833637302e-11,8.43665464100916e-09,0.88925124247,0.018687319873
94,0.9400000000000001,8.0773924829e-11,8.436671615381515e-09,0.88925124247,0.018687319873
95,0.9500000000000001,7.1828313013e-11,8.436686709863223e-09,0.88925124247,0.018687319873
96,0.96,6.3873416591e-11,8.436700132649835e-09,0.88925124246,0.018687319873
97,0.97,5.6799515064e-11,8.436712068879507e-09,0.88925124247,0.018687319873
98,0.98,5.0509039342e-11,8.436722683186574e-09,0.88925124246,0.018687319873
99,0.99,4.491522599e-11,8.43673212197232e-09,0.88925124246,0.018687319873
100,1.0,3.9940920517e-11,8.436740515424271e-09,0.88925124247,0.018687319873
101,1.01,3.5517513195e-11,8.436747979311848e-09,0.88925124247,0.018687319873
102,1.02,3.1583992738e-11,8.436754616583149e-09,0.88925124246,0.018687319873
103,1.03,2.8086104784e-11,8.4367605187849e-09,0.88925124247,0.018687319873
104,1.04,2.4975603576e-11,8.436765767325141e-09,0.88925124246,0.018687319873
105,1.05,2.2209586511e-11,8.43677043459607e-09,0.88925124246,0.018687319873
106,1.06,1.9749902399e-11,8.436774584972544e-09,0.88925124246,0.018687319873
107,1.07,1.7562625247e-11,8.43677827569998e-09,0.88925124246,0.018687319873
108,1.08,1.5617586322e-11,8.436781557683938e-09,0.88925124247,0.018687319873
109,1.09,1.3887958041e-11,8.43678447619225e-09,0.88925124246,0.018687319873
110,1.1,1.2349883943e-11,8.436787071479393e-09,0.88925124247,0.018687319873
111,1.11,1.0982149641e-11,8.436789379341709e-09,,
112,1.12,0.0,,,
