Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.75, 0, 74, 0.0
500, 1.75, 0.05, 47, 6.042756398840672e-10
500, 1.75, 0.1, 35, 8.863434052622134e-10
500, 1.75, 0.15, 28, 1.0477360287196742e-09
500, 1.75, 0.2, 23, 1.1508192185810585e-09
500, 1.75, 0.25, 20, 1.2195094899680728e-09
500, 1.75, 0.3, 17, 1.2691718990126417e-09
500, 1.75, 0.35, 15, 1.3071963643691716e-09
500, 1.75, 0.4, 14, 1.3372475393789171e-09
500, 1.75, 0.45, 13, 1.3573734525810272e-09
500, 1.75, 0.5, 13, 1.3573734525600542e-09
500, 1.75, 0.55, 13, 1.3573734525810272e-09
500, 1.75, 0.6, 13, 1.3573734525810272e-09
500, 1.75, 0.65, 13, 1.3573734525810272e-09
500, 1.75, 0.7, 13, 1.3573734525810272e-09
500, 1.75, 0.75, 13, 1.3573734525810272e-09
500, 1.75, 0.8, 13, 1.3573734525810272e-09
500, 1.75, 0.85, 13, 1.3573734525810272e-09
500, 1.75, 0.9, 13, 1.3573734525810272e-09
500, 1.75, 0.95, 13, 1.3573734525810272e-09
500, 1.75, 1, 13, 1.3573734525600767e-09
