Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.7121, 0, 1001, 7.67875570800012e-07
500, 0.7121, 0.05, 1001, 7.67875570809993e-07
500, 0.7121, 0.1, 1001, 7.678755707699941e-07
500, 0.7121, 0.15, 1001, 7.678755707899879e-07
500, 0.7121, 0.2, 1001, 7.678755707899879e-07
500, 0.7121, 0.25, 1001, 7.678755707850034e-07
500, 0.7121, 0.3, 1001, 7.678755707750185e-07
500, 0.7121, 0.35, 314, 1.9408100678855776e-08
500, 0.7121, 0.4, 82, 5.8295212983349826e-09
500, 0.7121, 0.45, 51, 3.990589035290379e-09
500, 0.7121, 0.5, 51, 3.990589035353289e-09
500, 0.7121, 0.55, 51, 3.990589035290379e-09
500, 0.7121, 0.6, 51, 3.990589035290379e-09
500, 0.7121, 0.65, 51, 3.990589035290379e-09
500, 0.7121, 0.7, 51, 3.990589035290379e-09
500, 0.7121, 0.75, 51, 3.990589035290379e-09
500, 0.7121, 0.8, 51, 3.990589035290379e-09
500, 0.7121, 0.85, 51, 3.990589035290379e-09
500, 0.7121, 0.9, 51, 3.990589035290379e-09
500, 0.7121, 0.95, 51, 3.990589035290379e-09
500, 0.7121, 1, 51, 3.9905890352645405e-09
