Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.5, 0, 62, 1.5922144416765004e-08
500, 1.5, 0.05, 68, 1.62702148923151e-08
500, 1.5, 0.1, 64, 1.663476221484255e-08
500, 1.5, 0.15, 39, 1.6745880380849063e-08
500, 1.5, 0.2, 34, 1.6781604137713496e-08
500, 1.5, 0.25, 31, 1.6810027306614414e-08
500, 1.5, 0.3, 29, 1.6804591133523543e-08
500, 1.5, 0.35, 28, 1.679928594546137e-08
500, 1.5, 0.4, 27, 1.6795428281001506e-08
500, 1.5, 0.45, 26, 1.6792495595464014e-08
500, 1.5, 0.5, 26, 1.6790196574228672e-08
500, 1.5, 0.55, 25, 1.6788337162237107e-08
500, 1.5, 0.6, 25, 1.6786811666992884e-08
500, 1.5, 0.65, 24, 1.6785524085692334e-08
500, 1.5, 0.7, 24, 1.678444106304705e-08
500, 1.5, 0.75, 24, 1.6783507077764803e-08
500, 1.5, 0.8, 23, 1.6782681365200174e-08
500, 1.5, 0.85, 23, 1.6781975299934198e-08
500, 1.5, 0.9, 23, 1.6781346854107106e-08
500, 1.5, 0.95, 22, 1.678076849431447e-08
500, 1.5, 1, 20, 1.6505909308900002e-08
