Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1, 0, 125, 1.7776914759e-08
500, 1, 0.05, 125, 1.7776914759099995e-08
500, 1, 0.1, 125, 1.7776914759245007e-08
500, 1, 0.15, 125, 1.7776914759160006e-08
500, 1, 0.2, 125, 1.7776914759290005e-08
500, 1, 0.25, 125, 1.7776914759234998e-08
500, 1, 0.3, 125, 1.77769147590464e-08
500, 1, 0.35, 125, 1.7776914759e-08
500, 1, 0.4, 125, 1.7776914759e-08
500, 1, 0.45, 125, 1.7776914759e-08
500, 1, 0.5, 125, 1.7776914759e-08
500, 1, 0.55, 125, 1.7776914759e-08
500, 1, 0.6, 125, 1.7776914759e-08
500, 1, 0.65, 125, 1.7776914759e-08
500, 1, 0.7, 125, 1.7776914759e-08
500, 1, 0.75, 125, 1.7776914759e-08
500, 1, 0.8, 125, 1.7776914759e-08
500, 1, 0.85, 125, 1.7776914759e-08
500, 1, 0.9, 125, 1.7776914759e-08
500, 1, 0.95, 125, 1.7776914759e-08
500, 1, 1, 125, 1.7776914759e-08
