0 Unknown
1 Unknown
2 Unknown
3 Unknown
4 Unknown
5 Unknown
6 Unknown
7 Unknown
8 Unknown
9 Unknown
10 Unknown
11 Unknown
12 Unknown
13 Unknown
14 Unknown
15 Unknown
16 Unknown
17 Unknown
18 Unknown
19 Unknown
20 Unknown
21 Unknown
22 Unknown
23 Unknown
24 Unknown
25 Unknown
26 Unknown
27 Unknown
28 Unknown
301 Extracellular exchange
302 Extracellular exchange
303 Extracellular exchange
304 Extracellular exchange
305 Extracellular exchange
306 Extracellular exchange
307 Extracellular exchange
308 Extracellular exchange
309 Extracellular exchange
310 Extracellular exchange
311 Extracellular exchange
312 Extracellular exchange
313 Extracellular exchange
314 Extracellular exchange
315 Extracellular exchange
316 Extracellular exchange
317 Extracellular exchange
318 Extracellular exchange
319 Extracellular exchange
320 Extracellular exchange
321 Extracellular exchange
322 Extracellular exchange
323 Extracellular exchange
324 Extracellular exchange
325 Extracellular exchange
326 Extracellular exchange
327 Extracellular exchange
328 Extracellular exchange
329 Extracellular exchange
330 Extracellular exchange
331 Extracellular exchange
332 Extracellular exchange
333 Extracellular exchange
334 Extracellular exchange
335 Extracellular exchange
336 Extracellular exchange
337 Extracellular exchange
338 Extracellular exchange
339 Extracellular exchange
340 Extracellular exchange
341 Extracellular exchange
342 Extracellular exchange
343 Extracellular exchange
344 Extracellular exchange
345 Extracellular exchange
346 Extracellular exchange
347 Extracellular exchange
348 Extracellular exchange
349 Extracellular exchange
350 Extracellular exchange
351 Extracellular exchange
352 Extracellular exchange
353 Extracellular exchange
354 Extracellular exchange
355 Extracellular exchange
356 Extracellular exchange
357 Extracellular exchange
358 Extracellular exchange
359 Extracellular exchange
360 Extracellular exchange
361 Extracellular exchange
362 Extracellular exchange
363 Extracellular exchange
364 Extracellular exchange
365 Extracellular exchange
366 Extracellular exchange
367 Extracellular exchange
368 Extracellular exchange
369 Extracellular exchange
370 Extracellular exchange
371 Extracellular exchange
372 Extracellular exchange
373 Extracellular exchange
374 Extracellular exchange
375 Extracellular exchange
376 Extracellular exchange
377 Extracellular exchange
378 Extracellular exchange
379 Extracellular exchange
380 Extracellular exchange
381 Extracellular exchange
382 Extracellular exchange
383 Extracellular exchange
384 Extracellular exchange
385 Extracellular exchange
386 Extracellular exchange
387 Extracellular exchange
388 Extracellular exchange
389 Extracellular exchange
390 Extracellular exchange
391 Extracellular exchange
392 Extracellular exchange
393 Extracellular exchange
394 Extracellular exchange
395 Extracellular exchange
396 Extracellular exchange
397 Extracellular exchange
398 Extracellular exchange
399 Extracellular exchange
400 Extracellular exchange
401 Extracellular exchange
402 Extracellular exchange
403 Extracellular exchange
404 Extracellular exchange
405 Extracellular exchange
406 Extracellular exchange
407 Extracellular exchange
408 Extracellular exchange
409 Extracellular exchange
410 Transport, Lysosomal
411 Transport, Mitochondrial
412 Transport, Lysosomal
413 Transport, Mitochondrial
414 Transport, Lysosomal
415 Transport, Mitochondrial
416 Transport, Lysosomal
417 Transport, Mitochondrial
418 beta-Alanine metabolism
419 Transport, Extracellular
420 Unknown
421 Unknown
422 Unknown
423 Unknown
424 Unknown
425 Unknown
426 Unknown
427 Unknown
428 Unknown
429 Unknown
430 Transport, Extracellular
431 Transport, Extracellular
432 Transport, Extracellular
433 Unknown
434 Transport, Mitochondrial
435 Transport, Extracellular
436 Transport, Extracellular
437 Unknown
438 Transport, Mitochondrial
439 Vitamin D
440 Vitamin D
441 Pyrimidine Catabolism
442 Propanoate Metabolism
443 Transport, Extracellular
444 Transport, Extracellular
445 Transport, Extracellular
446 Lysine Metabolism
447 Tryptophan metabolism
448 Tyrosine metabolism
449 Unknown
450 Unknown
451 Ubiquinone Biosynthesis
452 Transport, Nuclear
453 Valine, Leucine, and Isoleucine Metabolism
454 Transport, Extracellular
455 Transport, Mitochondrial
456 Ubiquinone Biosynthesis
457 Ubiquinone Biosynthesis
458 Sphingolipid Metabolism
459 Tryptophan metabolism
460 Butanoate Metabolism
461 Valine, Leucine, and Isoleucine Metabolism
462 Transport, Extracellular
463 Tyrosine metabolism
464 beta-Alanine metabolism
465 Tryptophan metabolism
466 Tryptophan metabolism
467 Tyrosine metabolism
468 Transport, Extracellular
469 Transport, Mitochondrial
470 Transport, Mitochondrial
471 Tyrosine metabolism
472 Unknown
473 Tyrosine metabolism
474 Nucleic acid degradation
475 Transport, Mitochondrial
476 Cysteine Metabolism
477 Cysteine Metabolism
478 Tyrosine metabolism
479 Tyrosine metabolism
480 Tyrosine metabolism
481 Transport, Mitochondrial
482 Ubiquinone Biosynthesis
483 Ubiquinone Biosynthesis
484 Transport, Extracellular
485 Arginine and Proline Metabolism
486 Unknown
487 Transport, Mitochondrial
488 Unknown
489 Unknown
490 Unknown
491 Transport, Extracellular
492 CYP Metabolism
493 Transport, Extracellular
494 Transport, Extracellular
495 Transport, Extracellular
496 Transport, Endoplasmic Reticular
497 Transport, Extracellular
498 Transport, Endoplasmic Reticular
499 Transport, Lysosomal
500 Transport, Extracellular
501 Tryptophan metabolism
502 Tryptophan metabolism
503 Tryptophan metabolism
504 Tryptophan metabolism
505 Tryptophan metabolism
506 Tryptophan metabolism
507 Transport, Extracellular
508 Tryptophan metabolism
509 Tryptophan metabolism
510 Transport, Extracellular
511 Transport, Extracellular
512 Transport, Lysosomal
513 Transport, Mitochondrial
514 Transport, Lysosomal
515 Transport, Mitochondrial
516 Transport, Extracellular
517 Transport, Lysosomal
518 Transport, Mitochondrial
519 Transport, Endoplasmic Reticular
520 Transport, Lysosomal
521 Transport, Mitochondrial
522 Transport, Lysosomal
523 Transport, Mitochondrial
524 Sphingolipid Metabolism
525 Sphingolipid Metabolism
526 Propanoate Metabolism
527 Blood Group Biosynthesis
528 Blood Group Biosynthesis
529 Blood Group Biosynthesis
530 Blood Group Biosynthesis
531 Blood Group Biosynthesis
532 Blood Group Biosynthesis
533 Blood Group Biosynthesis
534 Blood Group Biosynthesis
535 Blood Group Biosynthesis
536 Glutamate metabolism
537 Pentose and Glucuronate Interconversions
538 Unknown
539 beta-Alanine metabolism
540 Transport, Extracellular
541 Transport, Lysosomal
