Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.25, 0, 60, 1.7776914759e-08
500, 1.25, 0.05, 60, 1.7776914758745002e-08
500, 1.25, 0.1, 60, 1.7776914759445006e-08
500, 1.25, 0.15, 60, 1.7776914759619994e-08
500, 1.25, 0.2, 60, 1.7776914758880002e-08
500, 1.25, 0.25, 60, 1.7776914759057498e-08
500, 1.25, 0.3, 60, 1.7776914759e-08
500, 1.25, 0.35, 60, 1.7776914759e-08
500, 1.25, 0.4, 60, 1.7776914759e-08
500, 1.25, 0.45, 60, 1.7776914759e-08
500, 1.25, 0.5, 60, 1.7776914759e-08
500, 1.25, 0.55, 60, 1.7776914759e-08
500, 1.25, 0.6, 60, 1.7776914759e-08
500, 1.25, 0.65, 60, 1.7776914759e-08
500, 1.25, 0.7, 60, 1.7776914759e-08
500, 1.25, 0.75, 60, 1.7776914759e-08
500, 1.25, 0.8, 60, 1.7776914759e-08
500, 1.25, 0.85, 60, 1.7776914759e-08
500, 1.25, 0.9, 60, 1.7776914759e-08
500, 1.25, 0.95, 60, 1.7776914759e-08
500, 1.25, 1, 60, 1.7776914759e-08
