Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.75, 0, 66, 1.1268344473595006e-09
500, 1.75, 0.05, 183, 2.6606366580066064e-09
500, 1.75, 0.1, 75, 2.169515509553374e-09
500, 1.75, 0.15, 48, 2.043764670181271e-09
500, 1.75, 0.2, 35, 1.976820151000312e-09
500, 1.75, 0.25, 28, 1.9362178979533334e-09
500, 1.75, 0.3, 23, 1.910062840170065e-09
500, 1.75, 0.35, 21, 1.8996672783273765e-09
500, 1.75, 0.4, 21, 1.899667278320326e-09
500, 1.75, 0.45, 21, 1.899667278320326e-09
500, 1.75, 0.5, 21, 1.8996672783512642e-09
500, 1.75, 0.55, 21, 1.899667278320326e-09
500, 1.75, 0.6, 21, 1.899667278320326e-09
500, 1.75, 0.65, 21, 1.899667278320326e-09
500, 1.75, 0.7, 21, 1.899667278320326e-09
500, 1.75, 0.75, 21, 1.899667278320326e-09
500, 1.75, 0.8, 21, 1.899667278320326e-09
500, 1.75, 0.85, 21, 1.899667278320326e-09
500, 1.75, 0.9, 21, 1.899667278320326e-09
500, 1.75, 0.95, 21, 1.899667278320326e-09
500, 1.75, 1, 21, 1.899667278322401e-09
