Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 0.6843, 0, 281, 1.7776914759e-08
500, 0.6843, 0.05, 281, 1.777691475888e-08
500, 0.6843, 0.1, 281, 1.777691475881001e-08
500, 0.6843, 0.15, 281, 1.7776914758800007e-08
500, 0.6843, 0.2, 281, 1.7776914759135005e-08
500, 0.6843, 0.25, 281, 1.7776914759365007e-08
500, 0.6843, 0.3, 281, 1.777691475921001e-08
500, 0.6843, 0.35, 281, 1.7776914759225012e-08
500, 0.6843, 0.4, 281, 1.7776914758850005e-08
500, 0.6843, 0.45, 281, 1.7776914758850005e-08
500, 0.6843, 0.5, 281, 1.7776914759e-08
500, 0.6843, 0.55, 281, 1.7776914758850005e-08
500, 0.6843, 0.6, 281, 1.7776914758850005e-08
500, 0.6843, 0.65, 281, 1.7776914758850005e-08
500, 0.6843, 0.7, 281, 1.7776914758850005e-08
500, 0.6843, 0.75, 281, 1.7776914758850005e-08
500, 0.6843, 0.8, 281, 1.7776914758850005e-08
500, 0.6843, 0.85, 281, 1.7776914758850005e-08
500, 0.6843, 0.9, 281, 1.7776914758850005e-08
500, 0.6843, 0.95, 281, 1.7776914758850005e-08
500, 0.6843, 1, 281, 1.7776914759e-08
