Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.5, 0, 469, 0.0
500, 1.5, 0.05, 101, 1.2192181896814549e-09
500, 1.5, 0.1, 57, 1.3645209403253173e-09
500, 1.5, 0.15, 40, 1.4174337801749649e-09
500, 1.5, 0.2, 31, 1.4425347477609603e-09
500, 1.5, 0.25, 25, 1.4530430518772429e-09
500, 1.5, 0.3, 21, 1.458980300500956e-09
500, 1.5, 0.35, 18, 1.4632505317366315e-09
500, 1.5, 0.4, 16, 1.466470707562974e-09
500, 1.5, 0.45, 14, 1.4681478047438548e-09
500, 1.5, 0.5, 14, 1.4681478047438569e-09
500, 1.5, 0.55, 14, 1.4681478047438548e-09
500, 1.5, 0.6, 14, 1.4681478047438548e-09
500, 1.5, 0.65, 14, 1.4681478047438548e-09
500, 1.5, 0.7, 14, 1.4681478047438548e-09
500, 1.5, 0.75, 14, 1.4681478047438548e-09
500, 1.5, 0.8, 14, 1.4681478047438548e-09
500, 1.5, 0.85, 14, 1.4681478047438548e-09
500, 1.5, 0.9, 14, 1.4681478047438548e-09
500, 1.5, 0.95, 14, 1.4681478047438548e-09
500, 1.5, 1, 14, 1.4681478047409853e-09
